measurementTime,id,x,y
7.4,flow_0.0,-1.600000,67.981699
7.4,flow_1.1,12.325218,1.600000
7.5,flow_0.0,-1.600000,69.410925
7.5,flow_1.1,12.375276,1.600000
7.6,flow_1.1,12.447742,1.600000
7.7,flow_1.1,12.541944,1.600000
7.8,flow_1.1,12.658466,1.600000
7.9,flow_1.1,12.799800,1.600000
8,flow_1.1,12.960826,1.600000
8.1,flow_1.1,13.147320,1.600000
8.2,flow_1.1,13.350349,1.600000
8.3,flow_1.1,13.573528,1.600000
8.4,flow_1.1,13.811021,1.600000
8.5,flow_1.1,14.072409,1.600000
8.6,flow_1.1,14.356069,1.600000
8.7,flow_1.1,14.657796,1.600000
8.8,flow_1.1,14.985188,1.600000
8.9,flow_1.1,15.330919,1.600000
9,flow_1.1,15.689962,1.600000
9.1,flow_1.1,16.069740,1.600000
9.2,flow_1.1,16.464834,1.600000
9.3,flow_1.1,16.882250,1.600000
9.4,flow_1.1,17.319143,1.600000
9.5,flow_1.1,17.773735,1.600000
9.6,flow_1.1,18.245688,1.600000
9.7,flow_1.1,18.738101,1.600000
9.8,flow_1.1,19.255775,1.600000
9.9,flow_1.1,19.791473,1.600000
10,flow_1.1,20.346915,1.600000
10.1,flow_1.1,20.923479,1.600000
10.2,flow_1.1,21.526035,1.600000
10.3,flow_1.1,22.148982,1.600000
10.4,flow_1.1,22.786531,1.600000
10.5,flow_1.1,23.447914,1.600000
10.6,flow_1.1,24.130080,1.600000
10.7,flow_1.1,24.834287,1.600000
10.8,flow_1.1,25.561337,1.600000
10.9,flow_1.1,26.302908,1.600000
11,flow_1.1,27.067178,1.600000
11.1,flow_1.1,27.852800,1.600000
11.2,flow_1.1,28.657495,1.600000
11.3,flow_1.1,29.481246,1.600000
11.4,flow_1.1,30.328859,1.600000
11.5,flow_1.1,31.195468,1.600000
11.6,flow_1.1,32.085258,1.600000
11.7,flow_1.1,32.993738,1.600000
11.8,flow_1.1,33.927130,1.600000
11.9,flow_1.1,34.884571,1.600000
12,flow_1.1,35.861072,1.600000
12.1,flow_1.1,36.853879,1.600000
12.2,flow_1.1,37.871210,1.600000
12.3,flow_1.1,38.901945,1.600000
14,vehicle_0,30.037188,95.800000
14.1,vehicle_0,29.486826,95.800000
14.2,vehicle_0,28.933524,95.800000
14.3,vehicle_0,28.379079,95.800000
14.4,vehicle_0,27.825394,95.800000
14.5,vehicle_0,27.271587,95.800000
14.6,vehicle_0,26.718522,95.800000
14.7,vehicle_0,26.166123,95.800000
14.8,vehicle_0,25.615457,95.800000
14.9,vehicle_0,25.061328,95.800000
15,vehicle_0,24.509042,95.800000
15.1,vehicle_0,23.958883,95.800000
15.2,vehicle_0,23.405899,95.800000
15.3,vehicle_0,22.852381,95.800000
15.4,vehicle_0,22.298858,95.800000
15.5,vehicle_0,21.744460,95.800000
15.6,vehicle_0,21.194449,95.800000
15.7,vehicle_0,20.643518,95.800000
15.8,vehicle_0,20.089163,95.800000
15.9,vehicle_0,19.537236,95.800000
16,vehicle_0,18.986200,95.800000
16.1,vehicle_0,18.433437,95.800000
16.2,vehicle_0,17.882116,95.800000
16.3,vehicle_0,17.329160,95.800000
16.4,vehicle_0,16.777274,95.800000
16.5,vehicle_0,16.225485,95.800000
16.6,vehicle_0,15.670990,95.800000
16.7,vehicle_0,15.118516,95.800000
16.8,vehicle_0,14.565589,95.800000
16.9,vehicle_0,14.014885,95.800000
17,vehicle_0,13.464124,95.800000
17.1,vehicle_0,12.914150,95.800000
17.2,vehicle_0,12.363702,95.800000
17.3,vehicle_0,11.829635,95.800000
17.4,vehicle_0,11.325568,95.800000
17.5,vehicle_0,10.809501,95.800000
17.6,vehicle_0,10.281434,95.800000
17.7,vehicle_0,9.741367,95.800000
17.8,vehicle_0,9.189300,95.800000
17.9,vehicle_0,8.633744,95.800000
18,vehicle_0,8.078189,95.800000
18.1,vehicle_0,7.528509,95.800000
18.2,vehicle_0,7.010974,95.772584
18.3,vehicle_0,6.502605,95.698851
18.4,vehicle_0,5.991292,95.624691
18.5,vehicle_0,5.535663,95.398905
18.6,vehicle_0,5.091388,95.134231
18.7,vehicle_0,4.769006,94.746189
18.8,vehicle_0,4.505362,94.303644
18.9,vehicle_0,4.348617,93.824676
19,vehicle_0,4.274150,93.311243
19.1,vehicle_0,4.200000,92.797677
19.2,vehicle_0,4.200000,92.270397
19.3,vehicle_0,4.200000,91.731475
19.4,vehicle_0,4.200000,91.183212
19.5,vehicle_0,4.200000,90.633645
19.6,vehicle_0,4.200000,90.082722
19.7,vehicle_0,4.200000,89.533014
19.8,vehicle_0,4.200000,88.982144
19.9,vehicle_0,4.200000,88.431681
20,vehicle_0,4.200000,87.881929
20.1,vehicle_0,4.200000,87.326915
20.2,vehicle_0,4.200000,86.772809
20.3,vehicle_0,4.200000,86.222534
20.4,vehicle_0,4.200000,85.669023
20.5,vehicle_0,4.200000,85.114543
20.6,vehicle_0,4.200000,84.559501
20.7,vehicle_0,4.200000,84.009372
20.8,vehicle_0,4.200000,83.456991
20.9,vehicle_0,4.200000,82.906726
21,vehicle_0,4.200000,82.356590
21.1,vehicle_0,4.200000,81.803486
21.2,vehicle_0,4.200000,81.248075
21.3,vehicle_0,4.200000,80.696361
21.4,vehicle_0,4.200000,80.144823
21.5,vehicle_0,4.200000,79.593406
21.6,vehicle_0,4.200000,79.040382
21.7,vehicle_0,4.200000,78.486244
21.8,vehicle_0,4.200000,77.935348
21.9,vehicle_0,4.200000,77.382778
22,vehicle_0,4.200000,76.828693
22.1,vehicle_0,4.200000,76.276272
22.1,flow_1.0,93.229981,98.338574
22.2,vehicle_0,4.200000,75.722117
22.2,flow_1.0,92.694480,98.400000
22.3,vehicle_0,4.200000,75.171773
22.3,flow_1.0,92.133608,98.400000
22.4,vehicle_0,4.200000,74.617810
22.4,flow_1.0,91.555075,98.400000
22.5,vehicle_0,4.200000,74.063272
22.5,flow_1.0,90.953211,98.400000
22.6,flow_1.0,90.325608,98.400000
22.7,flow_1.0,89.679792,98.400000
22.8,flow_1.0,89.011974,98.400000
22.9,flow_1.0,88.327470,98.400000
23,flow_1.0,87.629199,98.400000
23.1,flow_0.0,101.600000,70.547306
23.1,flow_1.0,86.904930,98.400000
23.2,flow_0.0,101.600000,69.306668
23.2,flow_1.0,86.164031,98.400000
23.3,flow_0.0,101.600000,68.043777
23.3,flow_1.0,85.403295,98.400000
23.4,flow_0.0,101.600000,66.760696
23.4,flow_1.0,84.620633,98.400000
23.5,flow_0.0,101.600000,65.456580
23.5,flow_1.0,83.815198,98.400000
23.6,flow_0.0,101.600000,64.126938
23.6,flow_1.0,82.990502,98.400000
23.7,flow_0.0,101.600000,62.773331
23.7,flow_1.0,82.147470,98.400000
23.8,flow_0.0,101.600000,61.401129
23.8,flow_1.0,81.278860,98.400000
23.9,flow_0.0,101.600000,60.011790
23.9,flow_1.0,80.385503,98.400000
24,flow_0.0,101.600000,58.606577
24,flow_1.0,79.472519,98.400000
24,flow_1.1,98.400000,60.644727
24.1,flow_0.0,101.600000,57.177817
24.1,flow_1.0,78.541819,98.400000
24.1,flow_1.1,98.400000,61.871998
24.2,flow_0.0,101.600000,55.747292
24.2,flow_1.0,77.592031,98.400000
24.2,flow_1.1,98.400000,63.096431
24.3,flow_0.0,101.600000,54.323546
24.3,flow_1.0,76.623521,98.400000
24.3,flow_1.1,98.400000,64.322513
24.4,flow_0.0,101.600000,52.896386
24.4,flow_1.0,75.638470,98.400000
24.4,flow_1.1,98.400000,65.542870
24.5,flow_0.0,101.600000,51.477480
24.5,flow_1.0,74.629798,98.400000
24.5,flow_1.1,98.400000,66.762048
24.6,flow_1.0,73.595235,98.400000
24.6,flow_1.1,98.400000,67.984477
24.7,flow_1.0,72.540621,98.400000
24.7,flow_1.1,98.400000,69.212252
24.8,flow_1.0,71.465601,98.400000
24.8,flow_1.1,98.400000,70.438097
24.9,flow_1.0,70.372458,98.400000
24.9,flow_1.1,98.400000,71.657159
25,flow_1.0,69.263858,98.400000
25,flow_1.1,98.400000,72.876694
25.1,flow_1.0,68.140780,98.400000
25.1,flow_1.1,98.400000,74.099279
25.2,flow_1.0,67.003732,98.400000
25.2,flow_1.1,98.400000,75.327272
25.3,flow_1.0,65.852748,98.400000
25.3,flow_1.1,98.400000,76.549145
25.4,flow_1.0,64.699016,98.400000
25.4,flow_1.1,98.400000,77.776914
25.5,flow_1.0,63.552181,98.400000
25.5,flow_1.1,98.400000,79.004241
25.6,flow_1.0,62.408714,98.400000
25.6,flow_1.1,98.400000,80.225021
25.7,flow_1.0,61.259520,98.400000
25.7,flow_1.1,98.400000,81.410217
25.8,flow_1.0,60.114442,98.400000
25.8,flow_1.1,98.400000,82.550413
25.9,flow_1.0,58.963640,98.400000
25.9,flow_1.1,98.400000,83.647837
26,flow_1.0,57.810129,98.400000
26,flow_1.1,98.400000,84.700295
26.1,flow_1.0,56.668212,98.400000
26.1,flow_1.1,98.400000,85.707753
26.2,flow_1.0,55.519280,98.400000
26.2,flow_1.1,98.400000,86.670335
26.3,flow_1.0,54.366117,98.400000
26.3,flow_1.1,98.400000,87.590899
26.4,flow_1.0,53.221372,98.400000
26.4,flow_1.1,98.400000,88.466463
26.5,flow_1.0,52.067434,98.400000
26.5,flow_1.1,98.400000,89.297027
26.6,flow_1.0,50.919359,98.400000
26.6,flow_1.1,98.400000,90.082591
26.7,flow_1.0,49.765704,98.400000
26.7,flow_1.1,98.400000,90.823155
26.8,flow_1.0,48.612328,98.400000
26.8,flow_1.1,98.400000,91.525519
26.9,flow_1.0,47.461048,98.400000
26.9,flow_1.1,98.400000,92.182883
27,flow_1.0,46.308722,98.400000
27,flow_1.1,98.400000,92.796479
27.1,flow_1.0,45.163349,98.400000
27.1,flow_1.1,98.319679,93.362247
27.2,flow_1.0,44.011434,98.400000
27.2,flow_1.1,98.238127,93.933112
27.3,flow_1.1,98.156575,94.503976
27.4,flow_1.1,98.075023,95.074841
27.5,flow_1.1,97.844344,95.592760
27.6,flow_1.1,97.547655,96.087242
27.7,flow_1.1,97.250966,96.581724
27.8,flow_1.1,96.923794,97.045724
27.9,flow_1.1,96.434428,97.339343
28,flow_1.1,95.945635,97.632619
28.1,flow_1.1,95.458317,97.925010
28.2,flow_1.1,94.923375,98.096661
28.3,flow_1.1,94.357989,98.177430
28.4,flow_1.1,93.798182,98.257403
28.5,flow_1.1,93.227152,98.338978
28.6,flow_1.1,92.660590,98.400000
28.7,flow_1.1,92.064482,98.400000
28.8,flow_1.1,91.453261,98.400000
28.9,flow_1.1,90.827749,98.400000
29,flow_1.1,90.180186,98.400000
29.1,flow_1.1,89.511816,98.400000
29.2,flow_1.1,88.826960,98.400000
29.2,flow_1.2,98.400000,33.825808
29.3,flow_1.1,88.116601,98.400000
29.3,flow_1.2,98.400000,35.012436
29.4,flow_1.1,87.392453,98.400000
29.4,flow_1.2,98.400000,36.194745
29.5,flow_1.1,86.654121,98.400000
29.5,flow_1.2,98.400000,37.378369
29.6,flow_1.1,85.898519,98.400000
29.6,flow_1.2,98.400000,38.559041
29.7,flow_1.1,85.127878,98.400000
29.7,flow_1.2,98.400000,39.747046
29.8,flow_1.1,84.341343,98.400000
29.8,flow_1.2,98.400000,40.936851
29.9,flow_1.1,83.530450,98.400000
29.9,flow_1.2,98.400000,42.125452
30,flow_1.1,82.698804,98.400000
30,flow_1.2,98.400000,43.312888
30.1,flow_1.1,81.842172,98.400000
30.1,flow_1.2,98.400000,44.493129
30.2,flow_1.1,80.965300,98.400000
30.2,flow_1.2,98.400000,45.679761
30.3,flow_1.1,80.063978,98.400000
30.3,flow_1.2,98.400000,46.858038
30.4,flow_1.1,79.148639,98.400000
30.4,flow_1.2,98.400000,48.041747
30.5,flow_1.1,78.217457,98.400000
30.5,flow_1.2,98.400000,49.223983
30.6,flow_1.1,77.269925,98.400000
30.6,flow_1.2,98.400000,50.410740
30.7,flow_1.1,76.300306,98.400000
30.7,flow_1.2,98.400000,51.598357
30.8,flow_1.1,75.313092,98.400000
30.8,flow_1.2,98.400000,52.777783
30.9,flow_1.1,74.307950,98.400000
30.9,flow_1.2,98.400000,53.957936
31,flow_1.1,73.284154,98.400000
31,flow_1.2,98.400000,55.137337
31.1,flow_1.1,72.240866,98.400000
31.1,flow_1.2,98.400000,56.319198
31.2,flow_1.1,71.182106,98.400000
31.2,flow_1.2,98.400000,57.501067
31.3,flow_1.1,70.101287,98.400000
31.3,flow_1.2,98.400000,58.683817
31.4,flow_1.1,68.995012,98.400000
31.4,flow_1.2,98.400000,59.864348
31.5,flow_1.2,98.400000,61.041932
31.6,flow_1.2,98.400000,62.228733
31.7,flow_1.2,98.400000,63.412607
31.8,flow_1.2,98.400000,64.591343
31.9,flow_1.2,98.400000,65.776377
32,flow_1.2,98.400000,66.956077
32.1,flow_1.2,98.400000,68.137881
32.2,flow_1.2,98.400000,69.322853
32.3,flow_1.2,98.400000,70.503853
32.4,flow_1.2,98.400000,71.683641
32.5,flow_1.2,98.400000,72.868477
32.6,flow_1.2,98.400000,74.049177
32.7,flow_1.2,98.400000,75.232945
32.8,flow_1.2,98.400000,76.413858
32.9,flow_1.2,98.400000,77.603955
33,flow_1.2,98.400000,78.783857
33.1,flow_1.2,98.400000,79.965889
33.2,flow_1.2,98.400000,81.145973
33.3,flow_1.2,98.400000,82.281057
33.4,flow_1.2,98.400000,83.371140
40.4,flow_1.0,1.600000,11.702720
40.5,flow_1.0,1.600000,10.552923
40.6,flow_1.0,1.600000,9.403190
40.7,flow_1.0,1.600000,8.254910
43.1,flow_1.1,1.600000,46.159898
