measurementTime,id,x,y
10.5,flow_0.0,-0.859036,96.968274
10.6,flow_0.0,-0.438725,97.668792
10.7,flow_0.0,-0.016348,98.372753
10.8,flow_0.0,0.406131,99.076885
10.9,flow_0.0,0.980158,99.628095
11,flow_0.0,1.685617,100.051370
11.1,flow_0.0,2.384431,100.470659
11.2,flow_0.0,3.089342,100.893605
11.3,flow_0.0,3.853074,101.121868
11.4,flow_0.0,4.663649,101.237664
11.5,flow_0.0,5.478246,101.354035
11.6,flow_0.0,6.281686,101.468812
11.7,flow_0.0,7.086762,101.583823
11.8,flow_0.0,7.909652,101.600000
11.9,flow_0.0,8.751566,101.600000
12,flow_0.0,9.614544,101.600000
12.1,flow_0.0,10.491778,101.600000
12.2,flow_0.0,11.392013,101.600000
12.3,flow_0.0,12.306694,101.600000
12.4,flow_0.0,13.241497,101.600000
12.5,flow_0.0,14.201176,101.600000
12.6,flow_0.0,15.181690,101.600000
12.7,flow_0.0,16.177607,101.600000
12.8,flow_0.0,17.199397,101.600000
12.9,flow_0.0,18.240873,101.600000
13,flow_0.0,19.302162,101.600000
13.1,flow_0.0,20.381968,101.600000
13.2,flow_0.0,21.486954,101.600000
13.3,flow_0.0,22.613566,101.600000
13.4,flow_0.0,23.754886,101.600000
13.5,flow_0.0,24.916357,101.600000
13.6,flow_0.0,26.095067,101.600000
13.7,flow_0.0,27.291079,101.600000
13.8,flow_0.0,28.509582,101.600000
13.9,flow_0.0,29.752293,101.600000
14,flow_0.0,31.018788,101.600000
14,flow_0.1,-1.600000,59.012547
14.1,flow_0.0,32.306499,101.600000
14.1,flow_0.1,-1.600000,60.348535
14.2,flow_0.0,33.611307,101.600000
14.2,flow_0.1,-1.600000,61.709229
14.3,flow_0.0,34.934584,101.600000
14.3,flow_0.1,-1.600000,63.092787
14.4,flow_0.0,36.280694,101.600000
14.4,flow_0.1,-1.600000,64.502267
14.5,flow_0.0,37.642033,101.600000
14.5,flow_0.1,-1.600000,65.928213
14.6,flow_0.0,39.021849,101.600000
14.6,flow_0.1,-1.600000,67.374984
14.7,flow_0.0,40.423057,101.600000
14.7,flow_0.1,-1.600000,68.824359
14.8,flow_0.0,41.842204,101.600000
14.8,flow_0.1,-1.600000,70.266321
14.9,flow_0.0,43.272751,101.600000
14.9,flow_0.1,-1.600000,71.663282
15,flow_0.0,44.691549,101.600000
15,flow_0.1,-1.600000,73.015243
15.1,flow_0.0,46.112651,101.600000
15.1,flow_0.1,-1.600000,74.322720
15.2,flow_0.0,47.535147,101.600000
15.2,flow_0.1,-1.600000,75.585449
15.3,flow_0.0,48.957275,101.600000
15.3,flow_0.1,-1.600000,76.803179
15.4,flow_0.0,50.380315,101.600000
15.4,flow_0.1,-1.600000,77.975909
15.5,flow_0.0,51.804644,101.600000
15.5,flow_0.1,-1.600000,79.103639
15.6,flow_0.0,53.230552,101.600000
15.6,flow_0.1,-1.600000,80.186368
15.7,flow_0.0,54.650583,101.600000
15.7,flow_0.1,-1.600000,81.224098
15.8,flow_0.0,56.068943,101.600000
15.8,flow_0.1,-1.600000,82.216828
15.9,flow_0.0,57.494566,101.600000
15.9,flow_0.1,-1.600000,83.164557
16,flow_0.0,58.918005,101.600000
16,flow_0.1,-1.600000,84.067287
16.1,flow_0.0,60.347122,101.600000
16.1,flow_0.1,-1.600000,84.925017
16.2,flow_0.0,61.773013,101.600000
16.2,flow_0.1,-1.600000,85.737747
16.3,flow_0.0,63.194920,101.600000
16.3,flow_0.1,-1.600000,86.506738
